method,seed,J0_il,J0_step0,JT_final,J_peak,peak_step,J_late3,n_checkpoints,n_eval_episodes,final_step,J_ref,eval_seed_base,eval_max_steps
base,0,1445.8852444518127,1445.8852444518127,3580.233531697192,3687.003560854617,253952,3259.411539899616,21,10,499712,10655.36453116767,100000,1000
base,1,2520.1128471325305,2520.1128471325305,2827.9420940465106,4738.301645548574,155648,2964.118784193049,21,10,499712,10655.36453116767,100000,1000
base,2,2887.2530918487705,2887.2530918487705,2362.4222599321192,3692.8516890632754,450560,3124.7458080548195,21,10,499712,10655.36453116767,100000,1000
snp,0,2601.091022360059,2601.091022360059,3355.7938407861357,4215.454032661373,106496,3191.2236500208523,21,10,499712,10655.36453116767,100000,1000
snp,1,1982.6582280155012,1982.6582280155012,1449.1723381722397,2583.522021851949,81920,1544.7921786904787,21,10,499712,10655.36453116767,100000,1000
snp,2,4054.665155324584,4054.665155324584,2983.559209496995,4054.665155324584,0,2670.8291730591523,21,10,499712,10655.36453116767,100000,1000
inject,0,1445.8852444518127,1445.8852444518127,5865.155897775211,7884.968191949872,450560,6891.572519423101,21,10,499712,10655.36453116767,100000,1000
inject,1,2520.1128471325305,2520.1128471325305,6207.992106959083,7298.4174068057255,475136,6830.829887387344,21,10,499712,10655.36453116767,100000,1000
inject,2,2887.2530918487705,2887.2530918487705,4590.443788887799,4870.531113631727,425984,4276.973433733817,21,10,499712,10655.36453116767,100000,1000
