method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,1,180224,4065.281589152055,1454.7740079144987,834.8035775581632,5567.073400357404,10,2520.1128471325305,1545.1687420195244,0.18993496474877042,10655.36453116767
base,1,204800,3325.8310971869164,1165.889354310791,1369.180034022531,5287.412813245678,10,2520.1128471325305,805.7182500543859,0.09904035932121324,10655.36453116767
base,1,229376,2503.913158537425,1436.8486227075462,750.1162288125001,5500.315276780497,10,2520.1128471325305,-16.199688595105727,-0.0019912953184847595,10655.36453116767
base,1,253952,3541.24936495894,1189.0119176320995,1529.5617590300494,5382.422522046264,10,2520.1128471325305,1021.1365178264095,0.12551996635885257,10655.36453116767
base,1,278528,2599.5986237491775,2233.1735915580516,583.9503259744313,6769.131598277179,10,2520.1128471325305,79.48577661664694,0.009770536879991267,10655.36453116767
base,1,303104,4617.465236752947,1396.5886462423728,2518.081532478066,7294.881773199167,10,2520.1128471325305,2097.3523896204165,0.25781038753582913,10655.36453116767
base,1,327680,2451.2157746074395,1494.7240070414941,573.6762921638827,5678.926180935561,10,2520.1128471325305,-68.89707252509106,-0.008468954027793359,10655.36453116767
base,1,352256,2586.5567413189183,1262.9836264782118,819.2252205332104,4399.036197580073,10,2520.1128471325305,66.44389418638775,0.008167404864512283,10655.36453116767
base,1,376832,3371.432144768956,1356.1356884811448,1591.5569698727238,5976.640700564962,10,2520.1128471325305,851.3192976364253,0.10464572340182589,10655.36453116767
base,1,401408,2423.582425585276,1182.710847105138,767.5927327854333,4635.708925816749,10,2520.1128471325305,-96.53042154725472,-0.011865695774947343,10655.36453116767
base,1,425984,2945.8606972204043,1950.2343082333073,830.8623189541975,6242.626381899758,10,2520.1128471325305,425.74785008787376,0.05233370356212092,10655.36453116767
base,1,450560,2965.2358980072627,1540.8923144089501,1064.339328812137,5254.624945918878,10,2520.1128471325305,445.12305087473214,0.05471533864078717,10655.36453116767
base,1,475136,3099.1783605253745,1734.051188048323,957.9245004713109,6320.379262538058,10,2520.1128471325305,579.065513392844,0.0711797908426164,10655.36453116767
base,1,499712,2827.9420940465106,1145.85885979097,651.1734278609679,4452.267822739088,10,2520.1128471325305,307.8292469139801,0.037838933426022264,10655.36453116767
base,2,0,2887.2530918487705,1833.5120887081366,452.0379242689504,4973.002441645432,10,2887.2530918487705,0.0,0.0,10655.36453116767
base,2,32768,2706.5991688328354,1542.129991901386,479.09319697874236,4883.86921172791,10,2887.2530918487705,-180.6539230159351,-0.023255835656307063,10655.36453116767
base,2,57344,3292.5899093305716,1592.5720480400778,301.2292758472043,5610.607703317427,10,2887.2530918487705,405.33681748180106,0.052179583235376574,10655.36453116767
base,2,81920,3161.8809258693623,941.3489924215382,1291.733253419635,4301.689320622346,10,2887.2530918487705,274.62783402059176,0.035353230464123926,10655.36453116767
