method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,1,131072,6231.157998319108,4439.226065340802,-459.1621566563945,10838.57182588665,10,6727.982055801181,-496.82405748207293,-0.10442961596234611,11485.483582540317
base,1,155648,8506.109943721467,3681.019741794906,-327.68082326259145,10894.453258624279,10,6727.982055801181,1778.1278879202864,0.3737524575773052,11485.483582540317
base,1,180224,7355.400261103098,3231.7932349533758,-323.1637753608378,10991.795452278684,10,6727.982055801181,627.4182053019176,0.13187976958991746,11485.483582540317
base,1,204800,5607.960108112503,4088.950722862529,-452.0200776714599,11067.728050397516,10,6727.982055801181,-1120.0219476886778,-0.23542229911189022,11485.483582540317
base,1,229376,6377.398438750445,4341.57842996473,-454.20483121345427,11131.811276603135,10,6727.982055801181,-350.5836170507355,-0.07369069983616802,11485.483582540317
base,1,253952,9290.10349325212,2687.0239459506533,3933.49546359747,11212.931082690988,10,6727.982055801181,2562.121437450939,0.5385434818070384,11485.483582540317
base,1,278528,9178.1062433174,2846.142872873496,3549.404241246696,11248.224371680848,10,6727.982055801181,2450.1241875162186,0.5150022912721098,11485.483582540317
base,1,303104,7838.719221036331,4782.144671600466,-334.8040130945968,11123.316247808047,10,6727.982055801181,1110.7371652351503,0.233470690184517,11485.483582540317
base,1,327680,7154.606906043974,4078.2464249104296,-305.1684169167392,11264.062410545252,10,6727.982055801181,426.6248502427934,0.08967413835924386,11485.483582540317
base,1,352256,4266.416981654749,4127.801019953089,-423.1976688979495,10705.463199375252,10,6727.982055801181,-2461.5650741464315,-0.5174071011420607,11485.483582540317
base,1,376832,9542.16271718993,3314.6221593525465,-186.62787912299737,11093.170532582213,10,6727.982055801181,2814.18066138875,0.5915249096569617,11485.483582540317
base,1,401408,9234.018406689946,3046.9375399607998,3052.538402974565,10978.971006520655,10,6727.982055801181,2506.036350888765,0.5267547127997845,11485.483582540317
base,1,425984,9726.370281123236,2802.0477692169907,1396.5834086386335,11009.353399757712,10,6727.982055801181,2998.3882253220554,0.6302443010978814,11485.483582540317
base,1,450560,9754.549369810895,2292.704847955807,3158.283948061035,11028.214488706308,10,6727.982055801181,3026.567314009714,0.6361673866761745,11485.483582540317
base,1,475136,10060.094538191834,2119.830755886892,3742.946218610404,11031.483807201741,10,6727.982055801181,3332.112482390653,0.7003912585129829,11485.483582540317
base,1,499712,8199.670168161358,4117.0191214908655,-333.07202166744264,11031.956650515609,10,6727.982055801181,1471.688112360177,0.30934054435491765,11485.483582540317
base,2,0,3096.9485527866955,3519.990474434465,-405.4714616863962,10489.740289384637,10,3096.9485527866955,0.0,0.0,11485.483582540317
base,2,32768,6810.3114185353825,3674.4868350607467,301.89524547889795,10434.282275247679,10,3096.9485527866955,3713.362865748687,0.4426711996951726,11485.483582540317
base,2,57344,4152.2204384068455,3381.434840686371,-436.2459225538295,10089.232636677758,10,3096.9485527866955,1055.27188562015,0.12579930604704706,11485.483582540317
base,2,81920,4524.760452947953,3358.2339486129404,-431.0741622823885,10219.491871134142,10,3096.9485527866955,1427.8119001612577,0.17020992282045508,11485.483582540317
base,2,106496,3373.5155930316337,3339.483204813326,-418.8401848007728,9747.000531024534,10,3096.9485527866955,276.5670402449382,0.03296964717093058,11485.483582540317
base,2,131072,4877.50515089725,3825.800383623308,-387.26207170113173,11147.55537819432,10,3096.9485527866955,1780.5565981105547,0.2122607334394824,11485.483582540317
base,2,155648,3596.8678882642225,3398.0422046486265,-417.58581083375077,10078.328865181767,10,3096.9485527866955,499.91933547752706,0.059595547213517994,11485.483582540317
base,2,180224,4168.089821466058,3668.6954460371107,-449.35324000974333,10678.756320824355,10,3096.9485527866955,1071.1412686793628,0.12769110038312997,11485.483582540317
base,2,204800,5439.75604781554,3689.851710441841,988.6019780127367,10518.842476043083,10,3096.9485527866955,2342.8074950288446,0.27928684644455354,11485.483582540317
base,2,229376,5058.369504143402,3379.031034037463,-423.6172457179893,10515.274889909953,10,3096.9485527866955,1961.4209513567066,0.2338216320449095,11485.483582540317
base,2,253952,4754.571347721779,3083.3413898258977,-422.4134723762118,9911.71284902533,10,3096.9485527866955,1657.6227949350832,0.197605754623184,11485.483582540317
base,2,278528,4440.648712084871,3605.8421668381984,-153.7681807943465,10434.629156835614,10,3096.9485527866955,1343.700159298175,0.16018293472840844,11485.483582540317
base,2,303104,4251.965080308587,3763.776256078767,-271.11447462053655,11000.48958686148,10,3096.9485527866955,1155.0165275218915,0.1376898973762914,11485.483582540317
base,2,327680,3833.977958781721,3383.305185996117,-241.35011014497252,10322.049576624046,10,3096.9485527866955,737.0294059950256,0.0878615161399417,11485.483582540317
base,2,352256,4239.147165973898,3190.2450585482393,1238.550578959618,10196.331972370615,10,3096.9485527866955,1142.1986131872027,0.13616186962320978,11485.483582540317
base,2,376832,6379.56332596607,3418.320339007117,1510.376771790239,11146.207389262527,10,3096.9485527866955,3282.6147731793744,0.39132157893420233,11485.483582540317
base,2,401408,5065.3881623763855,3341.349215928398,812.8750659278608,10105.911697885664,10,3096.9485527866955,1968.43960958969,0.23465832858456176,11485.483582540317
base,2,425984,8346.477557811075,2875.254910996011,3616.7841865896535,11118.924132703516,10,3096.9485527866955,5249.529005024379,0.6257980667397612,11485.483582540317
base,2,450560,7105.835966244306,2485.435058350883,3587.0360387651244,10227.51763831723,10,3096.9485527866955,4008.887413457611,0.4779007775207985,11485.483582540317
