method,seed,J0_il,J0_step0,JT_final,J_peak,peak_step,J_late3,n_checkpoints,n_eval_episodes,final_step,J_ref,eval_seed_base,eval_max_steps
base,0,785.9808004170143,785.9808004170143,2529.995023882869,3506.0703193871436,475136,2669.593647455501,21,10,499712,11485.483582540317,100000,1000
base,1,6727.982055801181,6727.982055801181,8199.670168161358,10060.094538191834,475136,9338.104692054696,21,10,499712,11485.483582540317,100000,1000
base,2,3096.9485527866955,3096.9485527866955,5926.971761018943,8346.477557811075,425984,6237.621997963653,21,10,499712,11485.483582540317,100000,1000
snp,0,2826.1042922607826,2826.1042922607826,4602.4909249445745,6363.3428001907905,475136,4625.9909896514,21,10,499712,11485.483582540317,100000,1000
snp,1,4810.997107223799,4810.997107223799,5895.539201547037,8185.66401227348,376832,6644.907766646792,21,10,499712,11485.483582540317,100000,1000
snp,2,5226.905456413774,5226.905456413774,6377.775412078338,8717.859002588852,425984,6549.664520895863,21,10,499712,11485.483582540317,100000,1000
inject,0,785.9808004170143,1066.2259211795913,5425.496331341719,8675.807921662145,425984,6802.56522630973,21,10,499712,11485.483582540317,100000,1000
inject,1,6727.982055801181,6073.197641444289,6179.38604832196,9953.737446315263,57344,7354.413804832044,21,10,499712,11485.483582540317,100000,1000
inject,2,3096.9485527866955,4185.793453111307,6868.121973284962,8745.059710431642,401408,6867.264958068597,21,10,499712,11485.483582540317,100000,1000
