method,seed,step,eval_episode,return,J0,improvement,norm_improvement,J_ref
base,0,106496,8,-252.8296786074669,5375.566694215493,-5628.39637282296,-0.922251714779483,11478.45192793555
base,0,106496,9,1873.8649249779,5375.566694215493,-3501.701769237593,-0.5737780794755872,11478.45192793555
base,0,131072,0,657.9395853722746,5375.566694215493,-4717.627108843219,-0.7730158650213613,11478.45192793555
base,0,131072,1,-344.0122908754445,5375.566694215493,-5719.578985090938,-0.937192617116828,11478.45192793555
base,0,131072,2,10015.830493142952,5375.566694215493,4640.263798927459,0.7603393510545525,11478.45192793555
base,0,131072,3,-185.23382739273825,5375.566694215493,-5560.800521608231,-0.9111756665473831,11478.45192793555
base,0,131072,4,494.5680901843127,5375.566694215493,-4880.998604031181,-0.7997854156362937,11478.45192793555
base,0,131072,5,6809.840034646461,5375.566694215493,1434.2733404309683,0.23501561724792278,11478.45192793555
base,0,131072,6,863.5827923743011,5375.566694215493,-4511.983901841192,-0.7393198017508122,11478.45192793555
base,0,131072,7,4924.5289527551895,5375.566694215493,-451.03774146030355,-0.07390565676940718,11478.45192793555
base,0,131072,8,-58.212628371526655,5375.566694215493,-5433.77932258702,-0.8903623636363974,11478.45192793555
base,0,131072,9,6652.044312696357,5375.566694215493,1276.4776184808643,0.20915969568276127,11478.45192793555
base,0,155648,0,6530.189372205927,5375.566694215493,1154.6226779904337,0.18919292000145188,11478.45192793555
base,0,155648,1,-120.86620894203466,5375.566694215493,-5496.432903157528,-0.9006285866048491,11478.45192793555
base,0,155648,2,773.1443408414427,5375.566694215493,-4602.4223533740505,-0.7541387681993935,11478.45192793555
base,0,155648,3,-224.3771176772254,5375.566694215493,-5599.943811892718,-0.9175895656752573,11478.45192793555
base,0,155648,4,8733.07108704438,5375.566694215493,3357.504392828887,0.5501503409776798,11478.45192793555
base,0,155648,5,7834.129789881445,5375.566694215493,2458.5630956659516,0.40285258547529074,11478.45192793555
base,0,155648,6,-193.82355224619818,5375.566694215493,-5569.390246461691,-0.9125831524369411,11478.45192793555
base,0,155648,7,-235.75403750903604,5375.566694215493,-5611.320731724529,-0.9194537527596033,11478.45192793555
base,0,155648,8,-258.03289412942183,5375.566694215493,-5633.599588344915,-0.9231042976680408,11478.45192793555
base,0,155648,9,-227.74589684751544,5375.566694215493,-5603.312591063009,-0.9181415634665848,11478.45192793555
base,0,180224,0,5865.347328974776,5375.566694215493,489.7806347592832,0.0802539480789941,11478.45192793555
base,0,180224,1,-287.2421511246957,5375.566694215493,-5662.808845340189,-0.9278904366616268,11478.45192793555
base,0,180224,2,8567.442586851008,5375.566694215493,3191.875892635515,0.5230109644658799,11478.45192793555
base,0,180224,3,3738.8244727243964,5375.566694215493,-1636.7422214910966,-0.2681915452349441,11478.45192793555
base,0,180224,4,9134.011832119872,5375.566694215493,3758.4451379043785,0.615847258034958,11478.45192793555
base,0,180224,5,-271.13064571096237,5375.566694215493,-5646.697339926455,-0.9252504549490307,11478.45192793555
base,0,180224,6,117.43310181551433,5375.566694215493,-5258.133592399979,-0.8615815946342587,11478.45192793555
base,0,180224,7,4837.605547544131,5375.566694215493,-537.9611466713623,-0.08814865854118242,11478.45192793555
base,0,180224,8,-269.33400895410654,5375.566694215493,-5644.900703169599,-0.9249560635771211,11478.45192793555
base,0,180224,9,1978.435192423787,5375.566694215493,-3397.131501791706,-0.5566435171457937,11478.45192793555
base,0,204800,0,822.5279948310033,5375.566694215493,-4553.0386993844895,-0.7460469145776654,11478.45192793555
base,0,204800,1,-300.1331167904331,5375.566694215493,-5675.699811005926,-0.9300027106385974,11478.45192793555
base,0,204800,2,8288.193624586074,5375.566694215493,2912.6269303705812,0.4772540885744159,11478.45192793555
base,0,204800,3,8584.290588403921,5375.566694215493,3208.723894188428,0.5257716261701281,11478.45192793555
base,0,204800,4,2081.6380334761743,5375.566694215493,-3293.9286607393187,-0.5397330170981681,11478.45192793555
base,0,204800,5,2435.1103580116737,5375.566694215493,-2940.4563362038193,-0.4818141294014846,11478.45192793555
base,0,204800,6,5429.324833123898,5375.566694215493,53.75813890840527,0.008808643263119004,11478.45192793555
base,0,204800,7,6510.173824240589,5375.566694215493,1134.607130025096,0.18591323388651942,11478.45192793555
base,0,204800,8,-164.36500470257033,5375.566694215493,-5539.931698918063,-0.9077561654610048,11478.45192793555
