method,seed,J0_il,J0_step0,JT_final,J_peak,peak_step,J_late3,n_checkpoints,n_eval_episodes,final_step,J_ref,eval_seed_base,eval_max_steps,J0_energy_mean,J0_knn_mean
base,0,5375.566694215493,5375.566694215493,8989.925091423744,9936.142724354577,425984,8747.847996527506,21,10,499712,11478.45192793555,100000,1000,0.16168758273124695,4.949315708940228
lyapunov,0,3327.2943325917067,3327.2943325917067,9128.08192598247,9603.015569996129,425984,7970.997554983834,21,10,499712,11478.45192793555,100000,1000,0.10531646758317947,4.339302916233241
twostep,0,5170.92394242424,5170.92394242424,241.4211947630666,5170.92394242424,0,280.37178779273864,21,10,499712,11478.45192793555,100000,1000,0.16150030493736267,2.587950059772531
