method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref,energy_mean,knn_mean
base,2,401408,8189.149396683975,4151.010197336044,-104.56131263087066,10524.551142234264,10,6411.38374331294,1777.7656533710351,0.3503607948895564,11485.483582540317,0.2865579128265381,0.7966729515741269
base,2,425984,9423.627459022007,2428.0035117644675,2180.4735493092876,10569.370578419392,10,6411.38374331294,3012.243715709067,0.5936508564195072,11485.483582540317,0.2807161808013916,1.679164022691051
base,2,450560,8748.893844745891,3270.129432230949,-106.7038461502263,10551.357249442015,10,6411.38374331294,2337.510101432951,0.46067483396783226,11485.483582540317,0.288563072681427,0.7783281054377557
base,2,475136,10290.2537006991,140.36318200255738,10059.883078165421,10524.785930499573,10,6411.38374331294,3878.8699573861604,0.7644449418662489,11485.483582540317,0.2960951328277588,5.4359982541034615
base,2,499712,7126.3792649465,4706.1812003467885,-109.07815831405017,10570.974634729482,10,6411.38374331294,714.9955216335602,0.14091081061611913,11485.483582540317,0.2913995385169983,3.3869430720865736
lyapunov,0,0,6119.603139510832,3971.9925900589,-495.36542005530674,10501.62465139751,10,6119.603139510832,0.0,0.0,11485.483582540317,0.04846889525651932,2.318872495610019
lyapunov,0,32768,6105.771628714001,3505.418927526668,-80.82335561441131,10111.948608853707,10,6119.603139510832,-13.831510796831026,-0.0025776777811404817,11485.483582540317,0.053749702870845795,3.1608838038116693
lyapunov,0,57344,8818.172287944697,2160.263130372609,2505.1163351706637,10162.162517963567,10,6119.603139510832,2698.569148433865,0.5029126490204441,11485.483582540317,0.06429532170295715,3.4647293504059316
lyapunov,0,81920,6954.060488159691,2897.7562828184045,1300.683919955724,10688.98676611142,10,6119.603139510832,834.4573486488589,0.15551172959459877,11485.483582540317,0.08035658299922943,3.8039828237573303
lyapunov,0,106496,7028.413257109491,2375.402647876344,2750.3099439064263,10375.580350768974,10,6119.603139510832,908.8101175986585,0.16936831281991654,11485.483582540317,0.0812453180551529,1.517273829488953
lyapunov,0,131072,7451.136745639012,2413.7244024706924,3250.37694427436,10869.942562157976,10,6119.603139510832,1331.5336061281796,0.2481482060618313,11485.483582540317,0.08871524035930634,1.3625322749460735
lyapunov,0,155648,9362.595186189563,791.9898550575947,8293.407372795893,10635.409415353897,10,6119.603139510832,3242.9920466787307,0.6043727735840905,11485.483582540317,0.08669193089008331,2.9204468623369935
lyapunov,0,180224,7168.157211960715,3271.9018041279446,-68.60927524306894,10430.176428672286,10,6119.603139510832,1048.5540724498833,0.19541137440298167,11485.483582540317,0.09293761104345322,2.360214307650924
lyapunov,0,204800,8033.466280742675,2400.786998280325,1737.588736997029,10668.119663922775,10,6119.603139510832,1913.8631412318427,0.35667271404851414,11485.483582540317,0.1095268577337265,4.785970338927706
lyapunov,0,229376,8272.298270869822,2550.2928750350407,4045.224256891701,10830.375429814558,10,6119.603139510832,2152.69513135899,0.40118209002480726,11485.483582540317,0.10043782740831375,3.1439955692966786
lyapunov,0,253952,8019.811357056632,2561.3609434385767,2643.452528524261,10765.240196667186,10,6119.603139510832,1900.2082175458,0.35412794551919735,11485.483582540317,0.10430049151182175,4.637601665883263
lyapunov,0,278528,8226.80360783538,2200.0021716441574,4497.9009328324655,10709.565570775014,10,6119.603139510832,2107.2004683245477,0.39270358150994406,11485.483582540317,0.12130364775657654,1.3102201471159856
lyapunov,0,303104,7639.456833697326,2221.156160670923,3973.1234788388647,10819.018276954852,10,6119.603139510832,1519.853694186494,0.28324404727980973,11485.483582540317,0.11596652120351791,3.0744970011442905
lyapunov,0,327680,8251.93303608227,2622.6874274483785,1740.3635644688222,10443.193052880048,10,6119.603139510832,2132.3298965714375,0.3973867697600384,11485.483582540317,0.12592971324920654,1.909832798461119
lyapunov,0,352256,8334.508777249157,2822.4873116405215,2958.7194723708362,10867.128531907198,10,6119.603139510832,2214.905637738325,0.412775808339675,11485.483582540317,0.13071879744529724,4.244135836472114
lyapunov,0,376832,8011.8885306084585,2339.390971887548,2511.7739834028157,10763.628980000778,10,6119.603139510832,1892.2853910976264,0.35265142614258893,11485.483582540317,0.13354483246803284,2.122225850352645
lyapunov,0,401408,8727.311828470076,2331.9890450923713,4203.669460061546,10479.746441296988,10,6119.603139510832,2607.708688959244,0.4859796479179465,11485.483582540317,0.14148253202438354,2.5315175955106812
lyapunov,0,425984,7063.320292938863,3284.6919630590096,2388.711703712397,10625.284315022112,10,6119.603139510832,943.7171534280305,0.1758736824779775,11485.483582540317,0.1272508054971695,1.3887364068965116
